V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31
0,0.724137931034483,0.865671641791045,0.916030534351145,0.915384615384615,0.913385826771654,0.913385826771654,0.905982905982906,0.899082568807339,0.894736842105263,0.909090909090909,0.923076923076923,0.883495145631068,0.932926829268293,0.930232558139535,0.842592592592593,0.877862595419847,0.904255319148936,0.894117647058824,0.709677419354839,0.805970149253731,0.826923076923077,0.819672131147541,0.87962962962963,0.85,0.898305084745763,0.825396825396825,0.851351351351351,0.913385826771654,0.956521739130435,0.897959183673469
0.724137931034483,0,0.609375,0.717557251908397,0.705426356589147,0.708661417322835,0.708661417322835,0.705882352941176,0.719298245614035,0.813333333333333,0.775,0.8,0.752212389380531,0.789156626506024,0.886792452830189,0.614678899082569,0.669230769230769,0.906779661016949,0.909090909090909,0.68,0.822222222222222,0.808219178082192,0.743589743589744,0.814516129032258,0.82,0.852941176470588,0.795180722891566,0.78021978021978,0.845070422535211,0.920353982300885,0.904109589041096
0.865671641791045,0.609375,0,0.518072289156627,0.50609756097561,0.506172839506173,0.506172839506173,0.503225806451613,0.516556291390728,0.753731343283582,0.696296296296296,0.636363636363636,0.656441717791411,0.590909090909091,0.819277108433735,0.387323943661972,0.450617283950617,0.875,0.868571428571429,0.875,0.73972602739726,0.777777777777778,0.72463768115942,0.721590909090909,0.782608695652174,0.748663101604278,0.746478873239437,0.722972972972973,0.796019900497512,0.837209302325581,0.871428571428571
0.916030534351145,0.717557251908397,0.518072289156627,0,0.0894308943089431,0.0983606557377049,0.0983606557377049,0.11864406779661,0.245901639344262,0.669491525423729,0.593220338983051,0.49740932642487,0.677215189873418,0.436046511627907,0.768211920529801,0.435714285714286,0.349315068493151,0.880681818181818,0.887573964497041,0.919354838709677,0.816326530612245,0.798449612403101,0.732824427480916,0.757225433526012,0.8,0.775956284153005,0.764705882352941,0.73943661971831,0.804123711340206,0.834355828220859,0.861538461538462
0.915384615384615,0.705426356589147,0.50609756097561,0.0894308943089431,0,0.0256410256410257,0.0256410256410257,0.111111111111111,0.17948717948718,0.666666666666667,0.58974358974359,0.462765957446808,0.67515923566879,0.423529411764706,0.766666666666667,0.431654676258993,0.297872340425532,0.88,0.886904761904762,0.91869918699187,0.815068493150685,0.796875,0.730769230769231,0.755813953488372,0.798701298701299,0.774725274725275,0.762962962962963,0.737588652482269,0.803108808290155,0.833333333333333,0.86046511627907
0.913385826771654,0.708661417322835,0.506172839506173,0.0983606557377049,0.0256410256410257,0,0,0.0877192982456141,0.157894736842105,0.657894736842105,0.578947368421053,0.454054054054054,0.668831168831169,0.413173652694611,0.761904761904762,0.419117647058823,0.282608695652174,0.877906976744186,0.884848484848485,0.916666666666667,0.811188811188811,0.792,0.724409448818898,0.751479289940828,0.794701986754967,0.770949720670391,0.757575757575758,0.731884057971014,0.8,0.830188679245283,0.857142857142857
0.913385826771654,0.708661417322835,0.506172839506173,0.0983606557377049,0.0256410256410257,0,0,0.0877192982456141,0.157894736842105,0.657894736842105,0.578947368421053,0.454054054054054,0.668831168831169,0.413173652694611,0.761904761904762,0.419117647058823,0.282608695652174,0.877906976744186,0.884848484848485,0.916666666666667,0.811188811188811,0.792,0.724409448818898,0.751479289940828,0.794701986754967,0.770949720670391,0.757575757575758,0.731884057971014,0.8,0.830188679245283,0.857142857142857
0.905982905982906,0.705882352941176,0.503225806451613,0.11864406779661,0.111111111111111,0.0877192982456141,0.0877192982456141,0,0.148148148148148,0.625,0.538461538461538,0.466666666666667,0.655172413793103,0.386075949367089,0.744525547445255,0.385826771653543,0.28030303030303,0.87037037037037,0.87741935483871,0.909090909090909,0.796992481203008,0.773913043478261,0.700854700854701,0.74375,0.788732394366197,0.757396449704142,0.737704918032787,0.7109375,0.795580110497238,0.818791946308725,0.844827586206897
0.899082568807339,0.719298245614035,0.516556291390728,0.245901639344262,0.17948717948718,0.157894736842105,0.157894736842105,0.148148148148148,0,0.59375,0.545454545454545,0.450867052023121,0.664285714285714,0.406451612903226,0.748091603053435,0.385245901639344,0.233870967741935,0.878205128205128,0.878378378378378,0.901960784313726,0.784,0.757009345794392,0.678899082568807,0.730263157894737,0.785185185185185,0.745341614906832,0.719298245614035,0.691666666666667,0.793103448275862,0.808510638297872,0.833333333333333
0.894736842105263,0.813333333333333,0.753731343283582,0.669491525423729,0.666666666666667,0.657894736842105,0.657894736842105,0.625,0.59375,0,0.1875,0.773255813953488,0.571428571428571,0.741721854304636,0.61038961038961,0.613861386138614,0.693548387096774,0.907407407407407,0.898989898989899,0.777777777777778,0.623188405797101,0.48,0.326923076923077,0.704761904761905,0.6625,0.739130434782609,0.491525423728814,0.461538461538462,0.745901639344262,0.819148936170213,0.722222222222222
