測定日時	2012/8/30 17:52											
コメント	-223_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.268	1.063	0.373	0.429	0.356	1.006	0.42	0.466	0.338	1.079	0.35	0.373
B	0.712	0.238	1.216	0.513	0.748	0.301	0.263	0.518	0.873	0.356	0.393	0.963
C	1.112	0.279	0.32	0.238	1.171	0.22	0.218	0.402	1.209	0.374	0.362	0.365
D	1.349	0.888	0.631	0.868	1.085	0.991	0.261	1.124	1.138	1.234	0.938	0.661
E	0.265	0.887	0.315	0.364	0.358	1.024	0.387	0.446	0.298	1.118	0.404	0.37
F	1.636	0.244	0.959	0.389	1.156	0.294	0.988	0.453	1.061	0.289	0.954	0.341
G	0.233	0.65	0.25	0.386	0.345	0.663	0.332	0.339	0.333	0.765	0.328	0.327
H	0.233	0.688	0.343	0.484	0.334	0.463	0.335	0.688	0.359	0.469	0.32	0.296
測定日時	2012/8/30 17:55											
コメント	-225_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.202	1.055	0.32	0.52	0.337	1.027	0.409	0.488	0.361	1.045	0.383	0.368
B	0.722	0.202	1.303	1.15	1.042	0.177	0.253	1.089	0.768	0.225	1.209	1.029
C	1.406	0.298	0.181	0.395	1.098	0.343	0.21	0.429	1.133	0.371	0.222	0.387
D	1.244	0.991	0.333	1.18	1.104	1.007	0.924	0.909	1.118	1.086	0.417	1.029
E	0.3	0.952	0.415	0.505	0.282	0.977	0.215	0.477	0.313	1.096	0.402	0.39
F	1.289	0.467	0.955	0.503	1.106	0.359	0.906	0.55	1.034	0.39	0.918	0.555
G	0.288	0.403	0.379	0.267	0.344	0.438	0.347	0.379	0.39	0.448	0.304	0.336
H	0.27	0.552	0.346	0.727	0.332	0.509	0.332	0.781	0.333	0.588	0.345	0.551
測定日時	2012/8/30 17:58											
コメント	-254_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.188	1.193	0.305	0.354	0.327	1.193	0.362	0.513	0.338	1.155	0.312	0.391
B	0.743	0.199	1.365	1.277	0.878	0.203	1.273	1.255	1.004	0.219	0.298	0.365
C	1.274	0.299	0.244	0.268	1.172	0.193	0.287	0.311	1.118	0.252	0.315	0.414
D	1.229	1.019	0.461	0.917	1.148	0.98	0.979	0.99	1.068	1.059	0.478	0.679
E	0.277	1.065	0.367	0.459	0.249	1.136	0.353	0.465	0.255	1.073	0.428	0.485
F	1.308	0.385	1.024	0.403	1.24	0.335	0.972	0.511	1.149	0.386	0.285	0.454
G	0.315	0.756	0.318	0.302	0.282	0.761	0.317	0.31	0.26	0.823	0.318	0.336
H	0.295	0.61	0.347	0.458	0.315	0.59	0.316	0.634	0.323	0.579	0.446	0.668
測定日時	2012/8/30 18:01											
コメント	-258_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.184	1.113	0.401	0.383	0.338	1.08	0.354	0.418	0.357	1.194	0.317	0.392
B	0.75	0.16	0.233	0.489	0.563	0.236	1.215	0.473	0.903	0.226	0.313	0.432
C	1.077	0.248	0.17	0.29	1.175	0.335	0.181	0.367	1.18	0.231	0.216	0.38
D	1.238	0.895	0.231	0.895	1.137	1.005	0.808	1.165	1.15	1.192	0.251	0.836
E	0.277	0.946	0.318	0.472	0.287	1.058	0.258	0.36	0.294	1.216	0.404	0.517
F	1.221	0.28	0.287	0.371	1.181	0.27	0.263	0.462	1.145	0.269	1.049	0.458
G	0.304	0.679	0.303	0.232	0.283	0.766	0.333	0.285	0.305	0.512	0.311	0.344
H	0.305	0.757	0.428	0.48	0.323	0.619	0.307	0.773	0.315	0.717	0.296	0.395
測定日時	2012/8/30 18:04											
コメント	-259_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.203	1.267	0.296	0.437	0.356	1.082	0.335	0.441	0.39	1.067	0.387	0.419
B	0.647	0.16	1.084	1.108	0.771	0.158	0.262	1.116	0.617	0.262	1.186	1.116
C	1.435	0.131	0.142	0.274	1.075	0.269	0.147	0.245	1.178	0.275	0.287	0.468
D	1.305	1.011	0.244	0.935	1.16	1.054	0.27	1.111	1.166	1.018	0.157	0.83
E	0.248	0.912	0.347	0.327	0.347	0.943	0.226	0.35	0.175	1.123	0.253	0.51
F	1.515	0.176	1.003	0.387	1.244	0.157	0.164	0.374	1.016	0.175	0.944	0.548
G	0.253	0.66	0.206	0.122	0.256	0.571	0.221	0.238	0.287	0.423	0.316	0.348
H	0.308	0.617	0.311	0.462	0.321	0.569	0.305	0.634	0.297	0.329	0.352	0.728
測定日時	2012/8/30 18:08											
コメント	-213_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.176	0.969	0.365	0.42	0.315	0.787	0.347	0.376	0.315	0.832	0.356	0.39
B	0.494	0.221	0.184	0.39	0.462	0.265	0.193	0.838	0.926	0.352	0.3	0.463
C	1.488	0.189	0.168	0.358	1.173	0.144	0.189	0.32	1.098	0.355	0.249	0.345
D	1.103	0.764	0.152	0.734	1.033	0.727	0.196	0.813	0.899	0.918	0.385	0.535
E	0.204	0.615	0.163	0.481	0.195	0.643	0.186	0.455	0.368	0.739	0.413	0.364
F	1.2	0.153	1.059	0.453	0.828	0.227	0.875	0.582	0.712	0.402	0.325	0.474
G	0.259	0.57	0.394	0.23	0.347	0.468	0.362	0.364	0.343	0.672	0.323	0.301
H	0.245	0.585	0.423	0.435	0.332	0.542	0.341	0.474	0.325	0.528	0.357	0.343
測定日時	2012/8/30 18:11											
コメント	-216_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.245	1.21	0.295	0.498	0.279	1.169	0.325	0.526	0.322	1.157	0.342	0.374
B	0.986	0.158	1.321	1.184	1.205	0.164	1.282	1.167	1.036	0.309	1.376	0.763
C	1.488	0.19	0.275	0.353	1.287	0.156	0.165	0.198	1.238	0.316	0.308	0.273
D	1.177	1.046	0.811	1.005	1.165	1.045	0.808	1.167	1.196	1.245	0.333	0.524
E	0.254	0.907	0.249	0.514	0.279	1.158	0.252	0.389	0.308	1.139	0.354	0.273
F	1.34	0.253	0.887	0.393	1.26	0.244	0.938	0.413	1.198	0.335	0.738	0.286
G	0.31	0.345	0.386	0.28	0.33	0.353	0.301	0.345	0.407	0.692	0.295	0.27
H	0.277	0.714	0.366	0.81	0.338	0.536	0.317	0.703	0.357	0.583	0.311	0.261
測定日時	2012/8/30 18:14											
コメント	-217_20120830											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.19	1.227	0.288	0.427	0.338	1.091	0.346	0.454	0.301	1.178	0.306	0.391
B	1.044	0.143	0.182	0.506	0.971	0.199	1.474	1.229	1.106	0.234	0.323	0.381
